fecha,id_hotel,origen,genero,cantidad_ingresos,cantidad_egresos
01JUL2021,1,N/A,,0,10
02JAN2021,1,N/A,,20,1
02JUL2021,1,N/A,,0,10
03JAN2021,1,N/A,,41,8
04JAN2021,1,N/A,,0,22
05JAN2021,1,N/A,,0,1
06JAN2021,1,N/A,,0,2
07AUG2021,1,N/A,,8,0
07JAN2021,1,N/A,,0,1
08AUG2021,1,N/A,,4,0
08JAN2021,1,N/A,,0,2
09AUG2021,1,N/A,,5,5
10AUG2021,1,N/A,,0,2
10JAN2021,1,N/A,,0,1
11JAN2021,1,N/A,,0,1
12AUG2021,1,N/A,,0,1
12JAN2021,1,N/A,,0,7
13AUG2021,1,N/A,,0,1
13JAN2021,1,N/A,,0,15
17AUG2021,1,N/A,,0,2
18AUG2021,1,N/A,,0,5
19AUG2021,1,N/A,,0,1
19JUN2021,1,N/A,,13,0
20JUN2021,1,N/A,,1,2
21JUN2021,1,N/A,,16,0
22JUN2021,1,N/A,,24,3
23JUN2021,1,N/A,,0,6
24JUN2021,1,N/A,,0,4
25JUN2021,1,N/A,,0,2
26JUN2021,1,N/A,,0,2
27JUN2021,1,N/A,,0,2
28JUN2021,1,N/A,,0,1
29JUN2021,1,N/A,,0,7
30JUN2021,1,N/A,,0,5
01MAY2020,1,Repatriados,,1,0
02MAY2020,1,Repatriados,,27,48
03MAY2020,1,Repatriados,,0,1
04MAY2020,1,Repatriados,,40,0
05MAY2020,1,Repatriados,,2,15
06MAY2020,1,Repatriados,,33,2
07MAY2020,1,Repatriados,,0,27
08MAY2020,1,Repatriados,,0,5
09MAY2020,1,Repatriados,,9,16
10MAY2020,1,Repatriados,,0,9
11MAY2020,1,Repatriados,,0,29
12MAY2020,1,Repatriados,,58,6
13MAY2020,1,Repatriados,,0,21
14MAY2020,1,Repatriados,,0,2
15MAY2020,1,Repatriados,,54,2
16MAY2020,1,Repatriados,,0,4
17APR2020,1,Repatriados,,1,0
17MAY2020,1,Repatriados,,1,6
18MAY2020,1,Repatriados,,1,11
19MAY2020,1,Repatriados,,0,58
20MAY2020,1,Repatriados,,3,4
21APR2020,1,Repatriados,,0,1
21MAY2020,1,Repatriados,,1,20
22MAY2020,1,Repatriados,,14,3
23APR2020,1,Repatriados,,1,0
23MAY2020,1,Repatriados,,0,50
25APR2020,1,Repatriados,,52,0
28APR2020,1,Repatriados,,5,0
30APR2020,1,Repatriados,,38,1
01APR2021,1,UFU,,27,11
